ID_LOC	MEAS_DATE	MEAS_TIME	SITE	SITE_PLOT	PAI_DEVICE_LAB	PAI_DEVICE_TYPE	PAI_MEAS_TYPE	ID_MEAS	PAI	GAP1	GAP2	GAP3	GAP4	GAP5	BAD_READINGS
PSL_4_MEAS7	20210830	21:01:10	PSL	4	DYNAFOR	LICOR_LAI2200	BELOW	7	3.2272	0.248098	0.0430658	0.176814	0.0771505	0.0269647	NA
PSL_4_MEAS17	20210830	21:01:46	PSL	4	DYNAFOR	LICOR_LAI2200	BELOW	17	0.744606	1	0.940981	0.853602	0.532831	0.161803	ERROR
PSL_4_MEAS19	20210830	21:02:22	PSL	4	DYNAFOR	LICOR_LAI2200	BELOW	19	2.37843	0.496303	0.110074	0.200334	0.10376	0.143802	NA
PSL_4_MEAS1	20211027	19:09:13	PSL	4	CEFE	LICOR_LAI2200	BELOW	1	1.66642	0.735858	0.492045	0.328632	0.228168	0.0918565	NA
PSL_4_MEAS3	20211027	19:09:39	PSL	4	CEFE	LICOR_LAI2200	BELOW	3	2.60142	0.270578	0.114956	0.167395	0.10812	0.0819742	NA
PSL_4_MEAS5	20211027	19:09:59	PSL	4	CEFE	LICOR_LAI2200	BELOW	5	2.035	0.281845	0.391881	0.232697	0.144208	0.104911	NA
PSL_4_MEAS15	20211027	19:10:53	PSL	4	CEFE	LICOR_LAI2200	BELOW	15	2.44323	0.224242	0.187667	0.162966	0.118684	0.0926407	NA
PSL_4_MEAS25	20211027	19:11:13	PSL	4	CEFE	LICOR_LAI2200	BELOW	25	1.26678	0.473536	0.600631	0.594094	0.377105	0.101443	NA
PSL_4_MEAS23	20211027	19:11:34	PSL	4	CEFE	LICOR_LAI2200	BELOW	23	1.19216	0.650683	0.535459	0.357606	0.393981	0.243586	NA
PSL_4_MEAS21	20211027	19:11:59	PSL	4	CEFE	LICOR_LAI2200	BELOW	21	1.95642	0.697874	0.443546	0.235357	0.146254	0.0918656	NA
PSL_4_MEAS11	20211027	19:12:35	PSL	4	CEFE	LICOR_LAI2200	BELOW	11	2.12835	0.313961	0.222698	0.131138	0.22707	0.13122	NA
PSL_4_MEAS9	20211027	19:12:53	PSL	4	CEFE	LICOR_LAI2200	BELOW	9	2.30374	0.442769	0.224622	0.145719	0.129054	0.111481	NA
PSL_4_MEAS7	20211027	19:13:20	PSL	4	CEFE	LICOR_LAI2200	BELOW	7	3.46923	0.0910294	0.0263753	0.0902665	0.0718429	0.0582976	NA
PSL_4_MEAS17	20211027	19:13:41	PSL	4	CEFE	LICOR_LAI2200	BELOW	17	0.829672	0.95582	0.870362	0.658956	0.452625	0.218646	NA
PSL_4_MEAS19	20211027	19:14:16	PSL	4	CEFE	LICOR_LAI2200	BELOW	19	1.63495	0.366426	0.26122	0.302619	0.2844	0.195012	NA
PSL_4_MEAS13	20211027	19:14:44	PSL	4	CEFE	LICOR_LAI2200	BELOW	13	1.98685	0.209335	0.244905	0.269072	0.213208	0.106365	NA
PSL_5_MEAS1	20210512	05:58:28	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	1	2.3506	0.185777	0.156854	0.177315	0.181251	0.0844736	NA
PSL_5_MEAS3	20210512	05:59:45	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	3	0.977553	0.907825	0.859262	0.654088	0.349081	0.181178	NA
PSL_5_MEAS5	20210512	06:04:17	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	5	1.841	0.0659554	0.141716	0.317613	0.285853	0.251302	NA
PSL_5_MEAS15	20210512	06:05:13	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	15	1.56121	0.129276	0.307994	0.383355	0.347238	0.176146	NA
PSL_5_MEAS25	20210512	06:05:53	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	25	1.87663	0.259158	0.236613	0.346437	0.253683	0.0910698	NA
PSL_5_MEAS23	20210512	06:06:26	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	23	1.56998	0.508825	0.430588	0.432182	0.269553	0.0971208	NA
PSL_5_MEAS21	20210512	06:06:55	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	21	1.68353	0.458399	0.350287	0.362131	0.212103	0.135612	NA
PSL_5_MEAS11	20210512	06:07:24	PSL	5	DYNAFOR	LICOR_LAI2200	BELOW	11	3.16231	0.10581	0.0988317	0.101212	0.0674299	0.0500736	NA
