ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PUE_CP2_QI_0822	20210402	09:20:00	PUE	CP2	QI	822	L3	Y	TETIS	64.1	16.4	5.484691191	NA	NA	0.0235	0.0195	0.00029	0.02007
PUE_CP2_QI_0822	20210402	09:20:00	PUE	CP2	QI	822	L4	Y	TETIS	72.7	16.8	9.263192628	NA	NA	0.0211	0.0188	0.00067	0.02035
PUE_CP1_QI_0290	20210512	NA	PUE	CP1	QI	290	L1	Y	TETIS	69.5	16	3.910017531	NA	NA	NA	NA	0	0.02301
PUE_CP1_QI_0290	20210512	NA	PUE	CP1	QI	290	L2	Y	TETIS	64.8	12.6	4.481234188	0.0139	0.015163929	0.028	0.0248	0.00136	0.02105
PUE_CP1_QI_0290	20210512	NA	PUE	CP1	QI	290	L3	Y	TETIS	67.4	13.4	4.231453323	0.0146	0.014304296	0.0265	0.0231	0.00091	0.02347
PUE_CP1_QI_0290	20210512	NA	PUE	CP1	QI	290	L4	O	TETIS	46.3	12.2	4.171111589	NA	NA	NA	NA	0.001	0.02155
PUE_CP1_QI_0452	20210512	NA	PUE	CP1	QI	452	L1	Y	TETIS	71.9	16.7	3.899936758	NA	NA	NA	NA	0.00228	0.01787
PUE_CP1_QI_0452	20210512	NA	PUE	CP1	QI	452	L2	Y	TETIS	50.8	13.9	4.070678121	0.0145	0.012850288	0.0219	0.02	0.00129	0.01833
PUE_CP1_QI_0452	20210512	NA	PUE	CP1	QI	452	L3	Y	TETIS	66.2	14.4	4.309716914	0.0141	0.013174493	0.0221	0.0186	0.00034	0.01792
PUE_CP1_QI_0452	20210512	NA	PUE	CP1	QI	452	L4	O	TETIS	39.6	11.3	3.423031827	0.0111	0.011582943	0.0184	0.0171	0.00028	0.01535
PUE_CP1_QI_0618	20210512	NA	PUE	CP1	QI	618	L1	Y	TETIS	41.6	11.3	2.566348249	0.0103	0.009284038	0.0134	0.0133	0.00041	0.01026
PUE_CP1_QI_0618	20210512	NA	PUE	CP1	QI	618	L2	Y	TETIS	60.4	11.2	1.053840146	0.0094	0.009416667	0.0144	0.0128	0	0.01415
PUE_CP1_QI_0618	20210512	NA	PUE	CP1	QI	618	L3	Y	TETIS	50.8	13.2	3.39236445	0.0127	0.012166511	0.0178	0.0163	0	0.01465
PUE_CP1_QI_0618	20210512	NA	PUE	CP1	QI	618	L4	Y	TETIS	78.4	13	0.267484008	0.0109	0.011954305	0.0203	0.0196	0.00001	0.01934
